,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:,מחיר
0,תימורים,פרטית,פרטית,15,10/2022,3,לא,לא,ב.מ.וו X3,בנזין,1997,לבן פנינה,"48,000",2017,10/2017,אוטומט,,
1,קרית מלאכי,פרטית,,3,06/2022,1,לא,לא,מרצדס GLE,היברידי חשמל / בנזין,2996,לבן,"85,000",2018,06/2018,אוטומט,,
2,כפר מנדא,פרטית,,15,01/2022,1,לא,לא,שברולט טראוורס,בנזין,3564,שחור,"79,823",2017,01/2017,אוטומט,,
3,נתניה,פרטית,פרטית,15,10/2022,2,לא,לא,אלפא רומיאו סטלויו,בנזין,1995,לבן,"27,000",2018,10/2018,אוטומט,,
4,כפר תבור,פרטית,פרטית,15,06/2022,3,לא,לא,לנד רובר ריינג' רובר איווק,בנזין,1999,לבן,"100,000",2015,06/2015,אוטומט,,
5,פרדס חנה כרכור,פרטית,פרטית,15,05/2022,4,כן,לא,ב.מ.וו X5,דיזל,3000,לבן מטאלי,"240,000",2011,12/2011,אוטומט,,
6,נתניה,חברה,ליסינג,15,02/2022,2,לא,לא,קיה ספורטז',בנזין,1591,שחור מטאלי,"150,330",2015,02/2015,אוטומט,,
7,רמת גן,פרטית,,2,04/2022,1,לא,לא,פורשה קאיין,היברידי חשמל / בנזין,2995,שחור,"54,000",2018,04/2018,אוטומט,,
8,בית שמש,פרטית,פרטית,NaN,08/2022,2,לא,לא,האמר H3,בנזין,3653,שחור מטאלי,"155,000",2009,08/2009,אוטומט,,
9,חיפה,פרטית,,15,01/2023,1,לא,לא,קאדילק XT5,בנזין,3649,כסוף מטאלי,"57,000",2018,,אוטומט,,
10,זכרון יעקב,פרטית,פרטית,14,08/2022,3,לא,לא,ניסאן קשקאי,בנזין,1197,חום מטאלי,"88,000",2015,08/2015,אוטומט,,
11,בלפוריה,פרטית,פרטית,15,09/2022,2,לא,לא,אאודי Q7,דיזל,2967,אפור מטאלי,"126,300",2016,09/2016,אוטומט,,
