,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
0,פורד מוסטנג,2021,1,2261,לא צוין מחיר,"15,000",בנזין,אוטומט,שחור מטאלי,06/2021,06/2022,פרטית,לא,לא,15,מגאר,,
1,סקודה קודיאק,2021,1,1498,"210,000 ₪","9,000",בנזין,אוטומט,לבן מטאלי,09/2021,09/2023,פרטית,לא,לא,14,נצרת,,
2,פולקסווגן גולף,2010,2,1595,"22,000 ₪","198,000",בנזין,אוטומט,כחול כהה,,06/2022,פרטית,כן,לא,15,יהוד מונוסון,פרטית,
3,סקודה ראפיד,2016,2,1395,"45,000 ₪","130,000",בנזין,אוטומט,ירוק מטאלי,03/2016,03/2022,פרטית,לא,לא,12,כפר סבא,ליסינג,
4,קיה סורנטו,2014,3,2359,"82,000 ₪","85,000",בנזין,אוטומט,שחור,09/2014,09/2022,פרטית,לא,לא,15,ירושלים,פרטית,
5,מאזדה 6,2004,2,1999,"6,500 ₪","281,000",בנזין,אוטומט,אפור מטאלי,01/2004,,פרטית,לא,לא,NaN,פתח תקווה,פרטית,
6,שברולט אבאו,2007,7,1399,"5,000 ₪","200,000",בנזין,ידנית,אפור עכבר,,09/2022,פרטית,לא,לא,NaN,בית שמש,פרטית,
7,שברולט ספארק,2013,1,995,"12,000 ₪","162,000",בנזין,ידנית,כחול בהיר מטאלי,10/2013,,פרטית,כן,לא,9,בת ים,,
8,יונדאי i35,2014,2,1591,"48,000 ₪","150,000",בנזין,אוטומט,שחור,06/2014,,פרטית,לא,לא,14,ירושלים,פרטית,
9,רנו קליאו דור 4 (2013-2019),2015,1,1197,לא צוין מחיר,"122,000",בנזין,אוטומט,אדום מטאלי,06/2015,06/2022,פרטית,לא,לא,10,משמר דוד,,
10,פורשה קאיין,2017,1,2995,"285,000 ₪","150,000",היברידי חשמל / בנזין,אוטומט,לבן מטאלי,02/2017,02/2022,פרטית,לא,לא,2,כרמיאל,,
11,רנו פלואנס,2016,2,1461,"48,000 ₪","123,500",דיזל,אוטומט,אפור,09/2016,04/2022,פרטית,לא,לא,15,רמת גן,פרטית,
12,יונדאי קופה,2006,10,1975,"20,000 ₪","300,000",בנזין,ידנית,אפור,,,פרטית,לא,לא,NaN,פתח תקווה,פרטית,
13,יונדאי i10,2016,1,1248,לא צוין מחיר,"90,413",בנזין,אוטומט,כתום,11/2016,11/2022,פרטית,לא,לא,11,פתח תקווה,,סגל סער ציוד ורכב
14,מאזדה 6,2009,3,1999,"26,000 ₪","183,000",בנזין,אוטומט,כסוף,03/2009,,פרטית,לא,לא,15,פוריה נווה עובד,פרטית,
15,מאזדה 6,2015,3,1998,"61,900 ₪","102,500",בנזין,אוטומט,אפור עכבר,01/2015,01/2023,פרטית,לא,לא,14,אשדוד,פרטית,
16,טויוטה אוריס,2009,4,1598,"18,000 ₪","154,000",בנזין,רובוטית,אפור מטאלי,03/2009,03/2022,פרטית,לא,לא,15,קרית שמונה,פרטית,
17,שברולט מאליבו,2010,4,2384,"21,500 ₪","152,000",בנזין,אוטומט,כחול כהה,08/2010,08/2022,פרטית,לא,לא,15,אילת,פרטית,
18,אופל אדם,2018,1,1398,"57,000 ₪","36,000",בנזין,אוטומט,סגול מטאלי,01/2018,12/2022,פרטית,לא,לא,8,ירושלים,,
19,פורד פוקוס,2009,2,1596,"7,000 ₪","390,000",בנזין,אוטומט,לבן,05/2009,10/2022,פרטית,לא,לא,15,טייבה,פרטית,
20,טסלה מודל 3,2021,1,,"230,000 ₪","1,000",חשמלי,אוטומט,לבן,12/2021,12/2022,פרטית,לא,לא,1,באר שבע,,
21,פולקסווגן גולף,2012,2,1197,"33,000 ₪","155,000",בנזין,אוטומט,כחול כהה מטאלי,08/2012,08/2022,פרטית,לא,לא,14,הרצליה,פרטית,
22,קיה פיקנטו,2011,4,998,"19,999 ₪","79,000",בנזין,ידנית,ירקרק,,11/2022,פרטית,לא,לא,9,קיסריה,פרטית,
23,סיאט איביזה,2017,1,999,"65,000 ₪","109,000",בנזין,אוטומט,אפור מטאלי,07/2017,07/2022,פרטית,לא,לא,5,ירושלים,,
24,הונדה סיוויק סדאן החדשה,2007,2,1799,"26,000 ₪","107,000",בנזין,אוטומט,בז',01/2007,12/2023,פרטית,לא,לא,14,פתח תקווה,פרטית,
25,ניסאן קשקאי,2011,3,1997,"41,000 ₪","150,000",בנזין,אוטומט,שחור,03/2011,03/2022,פרטית,לא,לא,15,מנוחה,פרטית,
