,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,מחיר,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:
0,חיפה,פרטית,פרטית,15,02/2022,2,לא,לא,"135,000 ₪",אינפיניטי Q30,בנזין,1991,לבן פנינה,"39,000",2018,02/2018,אוטומט,
1,חדרה,פרטית,פרטית,14,03/2022,2,לא,לא,"66,000 ₪",ניסאן קשקאי,בנזין,1197,לבן,"112,000",2015,,אוטומט,
2,היוגב,פרטית,פרטית,NaN,01/2022,4,לא,לא,"7,000 ₪",מאזדה 626,בנזין,1991,תכלת מטאלי,"311,000",2002,,אוטומט,
3,עמנואל,פרטית,פרטית,NaN,03/2022,2,לא,לא,"10,000 ₪",יונדאי אקסנט (עד 2012),בנזין,1495,כסוף,"122,000",2003,,ידנית,
4,ירושלים,פרטית,פרטית,14,,2,לא,לא,לא צוין מחיר,סיאט לאון,בנזין,1798,לבן שנהב,"117,000",2015,,אוטומט,
5,ניר יפה,פרטית,,6,02/2023,1,לא,לא,"113,000 ₪",יונדאי i30,בנזין,1353,לבן,"7,700",2020,02/2020,אוטומט,
6,מודיעין מכבים רעות,פרטית,,15,02/2022,1,לא,לא,"122,000 ₪",קיה סורנטו,בנזין,2359,כסוף מטאלי,"130,000",2017,02/2017,אוטומט,
7,ראשון לציון,פרטית,פרטית,7,04/2022,2,לא,לא,"61,000 ₪",טויוטה יאריס,בנזין,1329,לבן מטאלי,"95,000",2016,04/2016,אוטומט,
8,רחובות,פרטית,,15,09/2022,1,לא,לא,"110,000 ₪",קיה ספורטז',בנזין,1999,לבן שנהב,"69,000",2017,09/2017,אוטומט,
9,באר שבע,פרטית,,4,10/2022,1,לא,לא,"72,000 ₪",קיה פיקנטו,בנזין,1248,לבן,"35,000",2019,10/2019,אוטומט,
10,באר שבע,פרטית,,15,01/2022,1,לא,לא,"115,000 ₪",שברולט אימפלה,בנזין,3564,כסוף,"61,000",2017,01/2017,אוטומט,
11,ראש העין,פרטית,חברה,12,01/2022,2,לא,לא,לא צוין מחיר,רנו קפצ'ור,בנזין,1197,קרם,"100,000",2017,01/2017,אוטומט,
12,חולון,פרטית,ליסינג,14,02/2022,3,לא,לא,"34,000 ₪",הונדה סיוויק האצ'בק החדשה,בנזין,1798,ברונזה,"183,000",2013,02/2013,אוטומט,
