,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
0,יונדאי ולוסטר,2012,3,1591,"40,000 ₪","155,000",בנזין,אוטומט,שחור,10/2012,10/2022,פרטית,פרטית,לא,לא,13,נהריה,
1,אאודי A4,2005,3,1781,"13,000 ₪","288,000",בנזין,אוטומט,ברונזה מטאלי,,08/2022,פרטית,פרטית,לא,לא,NaN,בית שמש,
2,מרצדס C-Class Taxi,2017,1,2143,"85,000 ₪","300,000",דיזל,אוטומט,לבן שנהב,10/2017,08/2021,פרטית,,לא,לא,14,טירת כרמל,
3,סוזוקי ספלאש,2012,2,1242,"18,000 ₪","187,310",בנזין,אוטומט,שחור,03/2012,03/2022,פרטית,השכרה,לא,לא,7,נתניה,
4,מיצובישי לנסר קלאסיק,2006,2,1584,"7,000 ₪","240,000",בנזין,אוטומט,כסוף מטאלי,12/2006,,פרטית,ליסינג,לא,לא,15,גדרה,
5,מרצדס E-Class,2018,2,3982,לא צוין מחיר,"78,400",בנזין,אוטומט,אפור,10/2018,11/2022,פרטית,פרטית,לא,לא,2,קרית מלאכי,
6,פיג'ו 205,1998,3,1360,"12,500 ₪","124,330",בנזין,ידנית,לבן,,02/2022,פרטית,פרטית,לא,לא,NaN,פתח תקווה,
7,טויוטה C-HR,2020,1,1798,"130,000 ₪","32,000",בנזין,אוטומט,לבן פנינה,11/2020,12/2022,פרטית,,לא,לא,2,ירושלים,
8,ב.מ.וו סדרה 5,2013,3,2979,לא צוין מחיר,"149,000",בנזין,אוטומט,אפור,03/2013,05/2022,פרטית,פרטית,לא,לא,15,קרית מלאכי,
9,יונדאי קופה,2003,3,1975,"22,000 ₪","230,000",בנזין,ידנית,צהוב,,08/2022,פרטית,פרטית,כן,לא,NaN,ראמה,
10,סיטרואן C אליזה,2013,3,1587,"15,000 ₪","120,000",בנזין,אוטומט,כחול בהיר,,03/2022,פרטית,השכרה,לא,לא,15,כרמיאל,
11,סיטרואן C4 פיקאסו,2012,2,1598,"16,000 ₪","140,000",בנזין,רובוטית,לבן,08/2012,08/2022,פרטית,פרטית,לא,לא,15,יבנה,
12,טויוטה פריוס הייבריד,2011,4,1798,"30,000 ₪","292,000",בנזין,אוטומט,אפור מטאלי,03/2011,03/2022,פרטית,פרטית,לא,לא,3,קרית מלאכי,
13,יונדאי i10,2016,1,1248,לא צוין מחיר,"90,413",בנזין,אוטומט,כתום,11/2016,11/2022,פרטית,,לא,לא,11,פתח תקווה,סגל סער ציוד ורכב
