,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,תאריך עליה לכביש,שם הסוכנות:
0,פורד פוקוס,2006,4,1596,"3,600 ₪","194,000",בנזין,אוטומט,כחול מטאלי,02/2022,פרטית,פרטית,לא,לא,15,אלעד,,
1,לקסוס RC,2016,2,1998,"196,000 ₪","57,000",בנזין,אוטומט,לבן,,פרטית,פרטית,לא,לא,15,אשדוד,08/2016,
2,סובארו אימפרזה גרנד לאונה,1997,2,1597,"6,400 ₪","220,000",בנזין,אוטומט,לבן מטאלי,04/2022,פרטית,פרטית,לא,לא,NaN,רמת גן,,
3,סיטרואן C1,2012,2,998,"19,000 ₪","105,000",בנזין,אוטומט,כחול,11/2022,פרטית,פרטית,לא,לא,4,חולון,11/2012,
4,יונדאי i25,2015,2,1591,"57,000 ₪","40,000",בנזין,אוטומט,כחול בהיר,11/2022,פרטית,פרטית,לא,לא,13,קרית אתא,12/2015,
5,טויוטה קורולה,2004,2,1598,"9,900 ₪","295,376",בנזין,אוטומט,כסוף מטאלי,12/2021,פרטית,ליסינג,לא,לא,NaN,תל אביב יפו,,
6,סקודה ראפיד,2017,2,1197,"45,000 ₪","120,700",בנזין,אוטומט,אפור עכבר,04/2022,פרטית,השכרה,לא,לא,6,"ניל""י",04/2017,
7,מיצובישי לנסר קלאסיק,2006,3,1584,"12,500 ₪","154,000",בנזין,אוטומט,אפור,09/2022,פרטית,פרטית,כן,לא,15,תל אביב יפו,,
8,מאזדה 2,2018,1,1496,"82,000 ₪","15,000",בנזין,אוטומט,בורדו מטאלי,09/2022,פרטית,,לא,לא,12,חולון,09/2018,
9,קיה ריו,2014,4,1248,"20,000 ₪","163,000",בנזין,ידנית,אפור עכבר,04/2022,פרטית,פרטית,כן,לא,14,רחובות,04/2014,
10,פולקסווגן ג'טה,2016,2,1197,"39,000 ₪","200,000",בנזין,אוטומט,לבן,07/2022,פרטית,השכרה,כן,לא,7,כפר מנדא,07/2016,
11,רנו מגאן גראנד קופה,2021,1,1461,"140,000 ₪","5,000",דיזל,אוטומט,לבן,01/2024,פרטית,,לא,לא,4,באר שבע,11/2021,
12,סוזוקי בלנו,2002,4,1590,"4,000 ₪","217,000",בנזין,אוטומט,כסוף מטאלי,01/2022,פרטית,פרטית,לא,לא,NaN,כפר סבא,,
13,דאצ'יה סנדרו,2016,1,1149,"30,000 ₪","35,000",בנזין,ידנית,כחול כהה,07/2022,פרטית,,לא,לא,10,גבעתיים,07/2016,
14,סובארו B4,2012,2,2457,"29,900 ₪","280,000",בנזין,אוטומט,אפור מטאלי,,פרטית,ליסינג,כן,לא,15,כרמיאל,08/2012,
