,אזור המכירה:,בעלות נוכחית,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,מחיר,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,בעלות קודמת,שם הסוכנות:
0,רמת השרון,פרטית,15,01/2023,1,לא,לא,"62,000 ₪",פורד קוגה,בנזין,1498,לבן,"135,900",2016,01/2016,אוטומט,,
1,אלפי מנשה,פרטית,14,07/2022,5,לא,לא,"93,000 ₪",סקודה אוקטביה RS,בנזין,1984,לבן שנהב,"124,000",2014,07/2014,אוטומט,פרטית,
2,באר שבע,פרטית,14,03/2023,1,לא,לא,"168,000 ₪",סובארו פורסטר,בנזין,2498,לבן שנהב,"32,000",2019,03/2019,אוטומט,,
3,מעלה אדומים,השכרה,15,08/2022,1,לא,לא,"10,000 ₪",שברולט קרוז,בנזין,1598,שחור,"109,000",2010,08/2010,אוטומט,,
4,יהוד מונוסון,פרטית,10,10/2022,2,לא,לא,"22,000 ₪",פיג'ו 308,בנזין,1199,שחור,"165,000",2015,10/2015,אוטומט,ליסינג,
5,כרמיאל,פרטית,14,11/2022,1,לא,לא,לא צוין מחיר,מיצובישי אאוטלנדר,בנזין,1998,לבן פנינה,"110,000",2014,11/2014,אוטומט,,
6,ראשון לציון,פרטית,15,05/2022,2,לא,לא,"128,000 ₪",יונדאי סנטה פה,בנזין,2359,לבן שנהב,"103,000",2018,05/2018,אוטומט,ליסינג,
7,עבדון,פרטית,7,08/2022,2,לא,לא,"95,000 ₪",רנו מגאן גראנד קופה,דיזל,1461,לבן פנינה,"77,000",2018,08/2018,אוטומט,פרטית,
8,אשדוד,פרטית,9,07/2024,1,לא,לא,"107,000 ₪",רנו קליאו דור 5 (2019 ואילך),בנזין,1332,אפור,"3,000",2021,07/2021,אוטומט,,
9,קרית אונו,פרטית,9,12/2022,2,לא,לא,"23,000 ₪",פיאט פונטו איבו (דור III מתיחת פנים),בנזין,1368,כסוף,"29,500",2010,12/2010,רובוטית,פרטית,
10,משמרות,פרטית,6,06/2022,4,לא,לא,"31,300 ₪",קיה פיקנטו,בנזין,1248,לבן,"98,000",2013,06/2013,אוטומט,פרטית,
11,ראשון לציון,פרטית,2,,1,לא,לא,"375,000 ₪",מרצדס E-Class,היברידי חשמל / דיזל,1950,שחור,"9,000",2021,09/2021,אוטומט,,
12,אחיסמך,פרטית,8,11/2022,1,לא,לא,"44,999 ₪",פיג'ו 2008,בנזין,1199,שחור,"110,000",2016,11/2016,אוטומט,,
13,טמרה,פרטית,7,04/2023,1,כן,לא,"140,000 ₪",ניסאן קשקאי,בנזין,1332,אפור מטאלי,"16,000",2021,04/2021,אוטומט,,
14,אשקלון,פרטית,7,06/2022,2,לא,לא,"87,000 ₪",רנו מגאן גראנד קופה,דיזל,1461,לבן פנינה,"69,700",2018,06/2018,אוטומט,ליסינג,
15,ראשון לציון,פרטית,14,07/2023,1,לא,לא,"171,000 ₪",אלפא רומיאו ג'וליה,בנזין,1995,לבן,"53,500",2017,07/2017,אוטומט,,
16,חיפה,פרטית,13,07/2022,1,לא,לא,לא צוין מחיר,ניסאן NV200,דיזל,1461,לבן,"170,000",2018,07/2018,ידנית,,
17,ראש העין,פרטית,15,01/2023,2,לא,לא,"98,500 ₪",סקודה סופרב (עד 2019),בנזין,1798,לבן,"119,000",2016,01/2016,אוטומט,פרטית,
18,אשקלון,פרטית,2,,1,כן,לא,"335,000 ₪",מרצדס E-Class,היברידי חשמל / בנזין,1991,אפור,"49,000",2020,,אוטומט,,show cars
19,ראשון לציון,פרטית,14,,1,כן,לא,650 ₪ לחודש,מיצובישי לנסר ספורטבק,בנזין,1798,אפור מטאלי,"223,000",2015,,אוטומט,פרטית,ענק הרכבים
20,ראשון לציון,פרטית,15,08/2022,1,לא,לא,"72,000 ₪",פיג'ו בוקסר,דיזל,1997,לבן,"129,000",2017,07/2017,ידנית,,יוסי
21,ראשון לציון,פרטית,9,,2,כן,לא,2150 ₪ לחודש,מרצדס CLA,בנזין,1595,כסוף,"82,000",2018,,אוטומט,פרטית,ענק הרכבים
