,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,טסט עד
0,סקודה סופרב (עד 2019),2017,2,1798,"130,000 ₪","24,000",בנזין,אוטומט,כסוף מטאלי,10/2017,פרטית,פרטית,לא,לא,14,ריחאנייה,
1,שברולט קרוז,2009,4,1598,"14,000 ₪","25,500",בנזין,אוטומט,כסוף,06/2009,פרטית,פרטית,לא,לא,15,עכו,11/2022
2,יונדאי i25,2016,2,1368,"43,000 ₪","110,000",בנזין,אוטומט,לבן,02/2016,פרטית,ליסינג,לא,לא,13,כפר סבא,
3,לקסוס IS300h,2015,4,2494,"99,900 ₪","140,000",בנזין,אוטומט,אפור מטאלי,02/2015,פרטית,פרטית,לא,לא,4,אבן יהודה,02/2022
4,טויוטה קורולה,2013,3,1598,"52,000 ₪","116,000",בנזין,אוטומט,תכלת מטאלי,01/2013,פרטית,פרטית,לא,לא,7,ירושלים,
5,סוזוקי ספלאש,2010,2,1242,"14,500 ₪","187,000",בנזין,אוטומט,שחור מטאלי,01/2010,פרטית,פרטית,לא,לא,13,מגדל העמק,01/2022
6,רנו פלואנס,2016,2,1461,"35,000 ₪","290,000",דיזל,אוטומט,לבן,,פרטית,פרטית,לא,לא,15,ירושלים,
7,הונדה סיוויק האצ'בק החדשה,2016,2,1798,"52,000 ₪","167,500",בנזין,אוטומט,כסוף מטאלי,02/2016,פרטית,פרטית,לא,לא,14,בני ברק,03/2022
8,מרצדס C-Class קופה,2016,3,1595,"178,000 ₪","70,000",בנזין,אוטומט,לבן מטאלי,,פרטית,פרטית,לא,לא,15,ירושלים,
9,מאזדה 3,2010,5,1598,"20,000 ₪","200,000",בנזין,אוטומט,לבן מטאלי,,פרטית,פרטית,כן,לא,15,כרמיאל,
10,יונדאי i30CW,2014,2,1591,לא צוין מחיר,"174,000",בנזין,אוטומט,כחול מטאלי,10/2014,פרטית,ליסינג,לא,לא,12,פרדסיה,10/2022
11,שברולט אקווינוקס,2018,1,1490,לא צוין מחיר,"26,000",בנזין,אוטומט,שחור,05/2018,פרטית,,לא,לא,13,תל אביב יפו,05/2022
12,אינפיניטי Q50,2016,2,1991,"95,000 ₪","149,000",בנזין,אוטומט,שחור מטאלי,10/2016,פרטית,פרטית,לא,לא,14,ראשון לציון,12/2021
13,מרצדס E-Class,2019,2,1991,"305,000 ₪","18,000",היברידי חשמל / בנזין,אוטומט,כסוף,03/2019,פרטית,פרטית,לא,לא,2,באר שבע,03/2022
14,סובארו אימפרזה ניו אייג',2004,3,1597,"7,000 ₪","186,000",בנזין,אוטומט,כסוף,,פרטית,פרטית,לא,לא,NaN,ירושלים,04/2022
15,שברולט קרוז,2011,3,1598,"14,000 ₪","108,000",בנזין,אוטומט,תכלת,03/2011,פרטית,פרטית,לא,לא,15,באר שבע,11/2022
16,סקודה סופרב (עד 2019),2017,2,1798,"122,000 ₪","48,563",בנזין,אוטומט,כסוף מטאלי,09/2017,פרטית,פרטית,לא,לא,14,אשקלון,09/2022
17,טויוטה יאריס,2013,4,1329,"33,000 ₪","146,000",בנזין,אוטומט,לבן,01/2013,פרטית,ליסינג,לא,לא,7,נצרת,01/2023
18,טויוטה C-HR,2019,2,1798,"127,000 ₪","36,000",בנזין,אוטומט,לבן מטאלי,,פרטית,פרטית,לא,לא,3,אזור,
19,ניסאן ג'וק / Juke,2013,2,1598,"43,000 ₪","56,000",בנזין,אוטומט,בורדו,06/2013,פרטית,פרטית,לא,לא,13,נס ציונה,10/2022
20,סוזוקי SX4,2008,2,1586,"18,000 ₪","181,500",בנזין,אוטומט,כסף מטלי,08/2008,פרטית,פרטית,לא,לא,15,קרית אתא,11/2022
21,סובארו אימפרזה ניו אייג',2004,2,1597,"7,000 ₪","148,100",בנזין,אוטומט,לבן,04/2004,פרטית,פרטית,לא,לא,NaN,תל אביב יפו,04/2022
22,סקודה סופרב (עד 2019),2011,3,1798,"30,000 ₪","200,000",בנזין,אוטומט,אפור,05/2011,פרטית,פרטית,לא,לא,15,ירושלים,05/2022
23,פיג'ו 206 +,2011,3,1360,"10,500 ₪",208,בנזין,ידנית,שחור,,פרטית,פרטית,לא,לא,14,ירושלים,11/2022
24,סיאט איביזה,2017,1,999,לא צוין מחיר,"118,000",בנזין,אוטומט,לבן,03/2017,פרטית,,כן,לא,8,נצרת עילית / נוף הגליל,
25,מאזדה 5,2010,4,1999,"28,900 ₪",199,בנזין,אוטומט,אפור עכבר,05/2010,פרטית,ליסינג,כן,לא,15,ראשון לציון,05/2022
26,קיה סיד / CEED,2017,2,1591,"45,000 ₪","132,000",בנזין,אוטומט,שחור,02/2017,פרטית,ליסינג,לא,לא,12,רעננה,02/2022
27,יונדאי איוניק,2017,2,,"80,000 ₪","168,000",היברידי חשמל / בנזין,אוטומט,כסוף,05/2017,פרטית,ליסינג,לא,לא,2,טירה,05/2022
28,סקודה סיטיגו / Citigo,2015,1,999,"19,000 ₪","163,000",בנזין,רובוטית,אדום,06/2015,פרטית,,לא,לא,5,עפולה,06/2022
29,פולקסווגן גולף פלוס,2007,3,1598,"12,000 ₪","270,000",בנזין,אוטומט,שחור,,פרטית,פרטית,לא,לא,NaN,כפר יונה,05/2022
30,סיאט איביזה,2019,1,999,"104,000 ₪","19,000",בנזין,אוטומט,לבן מטאלי,10/2019,פרטית,,לא,לא,8,ירושלים,10/2022
31,טויוטה C-HR,2019,1,1798,"132,000 ₪","25,500",בנזין,אוטומט,לבן,01/2019,פרטית,,לא,לא,3,ירושלים,01/2022
32,סוזוקי SX4,2010,3,1586,"19,000 ₪","170,000",בנזין,אוטומט,אפור מטאלי,05/2010,פרטית,ליסינג,לא,כן,14,הוד השרון,
33,מיצובישי לנסר קלאסיק,2005,2,1584,"10,000 ₪","200,000",בנזין,אוטומט,כסוף,12/2005,פרטית,פרטית,לא,לא,15,חולון,12/2022
34,אאודי A6,2003,3,2393,"8,000 ₪","470,000",בנזין,אוטומט,כסוף,,פרטית,פרטית,כן,לא,NaN,ירושלים,02/2022
35,יונדאי i30,2011,3,1591,"22,500 ₪","208,000",בנזין,אוטומט,כסוף,06/2011,פרטית,השכרה,לא,לא,14,אשדוד,06/2022
36,יונדאי אלנטרה (2016 ואילך),2021,1,1580,"170,000 ₪","3,000",בנזין,אוטומט,שחור מטאלי,08/2021,פרטית,,לא,לא,2,אור יהודה,08/2022
37,יונדאי איוניק,2017,2,1580,"87,000 ₪","130,000",בנזין,אוטומט,אפור עכבר,10/2017,פרטית,ליסינג,לא,לא,2,טירת כרמל,10/2022
38,יונדאי i10,2013,3,1086,"18,450 ₪","131,000",בנזין,ידנית,כחול מטאלי,01/2013,פרטית,השכרה,לא,לא,14,בת ים,01/2022
39,סיאט איביזה,2007,10,1781,"27,000 ₪","198,000",בנזין,ידנית,בורדו,01/2007,פרטית,פרטית,לא,כן,NaN,מגאר,
40,קיה מג'נטיס,2009,1,1998,"35,000 ₪","125,000",בנזין,אוטומט,כסף מטלי,08/2009,פרטית,,לא,לא,15,כרמיאל,08/2020
41,ב.מ.וו סדרה 1,2020,2,1998,"285,000 ₪","7,000",בנזין,אוטומט,לבן מטאלי,09/2020,פרטית,פרטית,לא,לא,14,טירה,09/2022
42,סקודה פאביה ספייס,2014,2,1598,"18,000 ₪","380,000",דיזל,ידנית,לבן,05/2014,פרטית,מונית,לא,לא,15,ירושלים,06/2022
43,שברולט מאליבו,2019,2,1490,"112,500 ₪","57,000",בנזין,אוטומט,אפור מטאלי,01/2019,פרטית,פרטית,לא,לא,14,ארבל,
44,פיאט פונטו איבו (דור III מתיחת פנים),2011,3,1368,"7,900 ₪","125,000",בנזין,רובוטית,שחור,03/2011,פרטית,פרטית,לא,לא,14,קרית ביאליק,03/2022
45,מיני קופר קבריולט,2010,2,1598,"64,000 ₪","135,000",בנזין,אוטומט,כחול בהיר מטאלי,10/2010,פרטית,פרטית,לא,לא,15,תל אביב יפו,11/2022
46,וולוו S60,2012,2,1595,"34,000 ₪","150,000",בנזין,אוטומט,לבן פנינה,02/2012,פרטית,פרטית,כן,לא,15,עפולה,02/2022
47,מרצדס CLA,2018,1,1991,"220,000 ₪","48,000",בנזין,אוטומט,לבן מטאלי,08/2018,פרטית,,לא,לא,14,באר שבע,08/2022
48,סובארו B4,2010,2,1994,"20,000 ₪","210,000",בנזין,אוטומט,אפור עכבר,03/2010,פרטית,פרטית,לא,לא,15,רמת גן,03/2022
49,מאזדה 3,2006,2,1598,"8,000 ₪","237,000",בנזין,אוטומט,אפור עכבר,,פרטית,פרטית,לא,לא,15,מבשרת ציון,05/2022
50,סובארו XV,2016,2,1600,"75,000 ₪","86,000",בנזין,אוטומט,כחול מטאלי,11/2016,פרטית,פרטית,לא,לא,14,פרדסיה,12/2021
51,מאזדה 6,2017,1,1998,"87,400 ₪","82,000",בנזין,אוטומט,כסוף,04/2017,פרטית,,לא,לא,10,חיפה,04/2022
52,שברולט אפיקה,2008,1,2492,"13,600 ₪","198,000",בנזין,אוטומט,שמפניה,02/2008,פרטית,,לא,לא,15,ראשון לציון,02/2022
53,אם. ג'י. / MG ZS,2020,1,999,"99,000 ₪","17,000",בנזין,אוטומט,לבן,,פרטית,,לא,לא,11,שוהם,
54,מרצדס S-Class,2017,1,2996,"440,000 ₪","75,000",היברידי חשמל / בנזין,אוטומט,לבן שנהב,08/2017,פרטית,,לא,לא,2,סביון,08/2022
55,רנו גרנד סניק,2008,2,1998,"13,900 ₪","215,000",בנזין,אוטומט,כסוף מטאלי,08/2008,פרטית,פרטית,לא,לא,15,אלישמע,08/2022
56,אאודי A6,2017,2,1984,"158,000 ₪","100,000",בנזין,אוטומט,שחור מטאלי,01/2017,פרטית,פרטית,לא,לא,14,הרצליה,
57,הונדה סיוויק (עד 2006),2006,5,1590,"11,000 ₪","230,000",בנזין,אוטומט,פלטינה,07/2006,פרטית,פרטית,לא,לא,NaN,עכו,07/2022
58,פיג'ו 306,1995,3,1991,"45,000 ₪","152,000",בנזין,ידנית,אדום,,פרטית,פרטית,לא,לא,NaN,רחובות,
59,הונדה סיוויק (עד 2006),2002,1,1590,"12,000 ₪","310,000",בנזין,אוטומט,זהב מטאלי,,פרטית,,לא,לא,NaN,שדרות,12/2022
60,סיטרואן C4,2011,2,1598,"10,000 ₪","195,000",בנזין,אוטומט,כסוף,,פרטית,פרטית,לא,לא,15,להב,05/2022
61,דאצ'יה סנדרו,2019,1,898,"56,000 ₪","28,000",בנזין,אוטומט,לבן,03/2019,פרטית,,לא,לא,10,טירת כרמל,03/2022
62,טויוטה קורולה,2016,1,1598,"59,000 ₪","210,000",בנזין,אוטומט,כסוף מטאלי,05/2016,פרטית,,לא,לא,7,כרמיאל,05/2022
63,טויוטה יאריס,2004,2,1298,"11,500 ₪","217,000",בנזין,אוטומט,תכלת,,פרטית,פרטית,לא,לא,NaN,ירושלים,08/2022
64,אופל אסטרה,2003,2,1995,לא צוין מחיר,"200,000",דיזל,ידנית,לבן,03/2003,פרטית,פרטית,כן,לא,NaN,ראשון לציון,12/2021
65,יונדאי i25,2012,2,1396,"28,000 ₪","167,500",בנזין,אוטומט,כסוף,12/2012,פרטית,ליסינג,לא,לא,13,נוף איילון,12/2022
66,קיה סיד / CEED,2011,3,1975,"26,450 ₪","154,000",בנזין,אוטומט,לבן,,פרטית,פרטית,לא,לא,15,אזור,05/2022
67,ניסאן ג'וק / Juke,2019,1,1598,"92,000 ₪","36,000",בנזין,אוטומט,לבן פנינה,01/2019,פרטית,,כן,לא,13,אשדוד,01/2022
68,סיטרואן C4 פיקאסו,2009,3,1598,"7,000 ₪","150,000",בנזין,רובוטית,כסוף,07/2009,פרטית,פרטית,לא,לא,15,בני ברק,07/2022
69,סוזוקי אלטו,2011,5,996,"6,200 ₪","225,000",בנזין,ידנית,כחול בהיר מטאלי,01/2011,פרטית,פרטית,כן,לא,9,קרית גת,01/2022
70,שברולט קרוז החדשה,2018,2,1399,"64,000 ₪","77,000",בנזין,אוטומט,אדום,06/2018,פרטית,פרטית,לא,לא,11,להב,06/2022
71,שברולט קרוז,2014,2,1362,"30,000 ₪","145,000",בנזין,אוטומט,אדום מטאלי,05/2014,פרטית,פרטית,לא,לא,14,נתניה,
72,מרצדס S-Class,2009,3,3498,לא צוין מחיר,"236,000",בנזין,אוטומט,שחור מטאלי,11/2009,פרטית,פרטית,לא,לא,15,שלומי,11/2022
73,מאזדה 5,2006,1,1999,"23,000 ₪","195,000",בנזין,אוטומט,כסוף מטאלי,,פרטית,,לא,לא,NaN,ירושלים,06/2022
