,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,טסט עד,תאריך עליה לכביש
0,ביואיק לה קרוס,2006,2,3564,"5,250 ₪","1,000",בנזין,אוטומט,כחול,פרטית,פרטית,לא,לא,15,אור יהודה,,
1,יונדאי i10,2012,2,1086,"13,000 ₪","170,000",בנזין,ידנית,אפור עכבר,פרטית,פרטית,לא,לא,14,ירושלים,02/2022,02/2012
2,מאזדה 5,2007,2,1999,"10,000 ₪","1,110",בנזין,אוטומט,אפור,פרטית,פרטית,לא,לא,NaN,טמרה,03/2022,
3,אאודי A3,2009,5,1798,"32,000 ₪","250,000",בנזין,אוטומט,לבן מטאלי,פרטית,פרטית,כן,לא,14,שפרעם,10/2022,10/2009
4,סוזוקי SX4,2009,3,1586,"22,500 ₪","160,000",בנזין,אוטומט,כתום,פרטית,פרטית,לא,לא,15,קרית שמונה,10/2022,03/2009
5,מיצובישי לנסר קלאסיק,2007,3,1584,לא צוין מחיר,"300,000",בנזין,אוטומט,אפור,פרטית,פרטית,לא,לא,15,בית השיטה,,
6,קרייזלר 300C,2015,2,3604,"100,000 ₪","110,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,כן,לא,15,טמרה,02/2022,02/2015
7,יונדאי סונטה,2021,1,1598,"198,000 ₪","10,000",בנזין,אוטומט,אפור עכבר,פרטית,,כן,לא,13,ירושלים,02/2022,02/2021
8,טסלה מודל 3,2021,1,,"280,000 ₪","1,000",חשמלי,אוטומט,שחור מטאלי,פרטית,,לא,לא,1,קרית גת,,11/2021
9,מאזדה 3,2010,3,1999,"38,000 ₪","145,000",בנזין,אוטומט,לבן,פרטית,פרטית,כן,לא,15,אשדוד,04/2022,04/2010
10,קיה פיקנטו,2013,3,1248,"28,000 ₪","190,000",בנזין,אוטומט,לבן,פרטית,השכרה,לא,לא,3,יפיע,07/2022,07/2013
11,פולקסווגן גולף,2011,3,1595,"26,500 ₪","145,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,15,תל אביב יפו,06/2022,06/2011
12,פיאט טיפו,2017,2,1598,"43,000 ₪","70,000",בנזין,אוטומט,לבן,פרטית,ליסינג,לא,לא,15,באר שבע,08/2022,08/2017
