,Unnamed: 0,Area,Owner,AirPol,Hand,Trade,Handicap,Handicap#,Engine,Volume,Engine#,Color,Color#,Km,Year,Gear,Gear#,Price,Maker,Model,Area#,location,point,latitude,longitude,altitude
0,2657,תל אביב יפו,פרטית,2.0,2,לא,לא,1,בנזין,1497.0,0,תכלת,49,145000.0,2014.0,אוטומט,1,47000.0,טויוטה,יאריס הייבריד,206,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
1,2239,תל אביב יפו,פרטית,15.0,5,לא,לא,1,בנזין,3791.0,0,תכלת,49,169000.0,2006.0,אוטומט,1,20000.0,ביואיק,לה קרוס,169,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
2,694,שוהם,פרטית,,2,לא,לא,1,בנזין,1769.0,0,תכלת,49,319000.0,2006.0,אוטומט,1,7000.0,ניסאן,אלמרה,378,"שוהם, שהם, נפת רמלה, מחוז המרכז, ישראל","(32.0004845, 34.9465419, 0.0)",32.0004845,34.9465419,0.0
3,1463,רחובות,פרטית,14.0,2,לא,לא,1,בנזין,1197.0,0,תכלת,49,130000.0,2011.0,אוטומט,1,25000.0,סקודה,אוקטביה,63,"רחובות, נפת רחובות, מחוז המרכז, ישראל","(31.8952532, 34.8105616, 0.0)",31.8952532,34.8105616,0.0
4,4342,ראשון לציון,פרטית,15.0,3,לא,לא,1,בנזין,1197.0,0,תכלת,49,220000.0,2012.0,ידנית,0,25000.0,סקודה,ייטי / Yeti,354,"ראשון לציון, נפת רחובות, מחוז המרכז, ישראל","(31.9635712, 34.8101149, 0.0)",31.9635712,34.8101149,0.0
5,3324,קרית שמונה,פרטית,9.0,2,לא,לא,1,בנזין,1197.0,0,תכלת,49,260000.0,2011.0,אוטומט,1,15000.0,סקודה,פאביה ספייס,145,"קרית שמונה, נפת צפת, מחוז הצפון, ישראל","(33.2074733, 35.5707828, 0.0)",33.2074733,35.5707828,0.0
6,3049,קרית שמונה,פרטית,11.0,3,כן,לא,1,בנזין,1197.0,0,תכלת,49,155000.0,2014.0,אוטומט,1,,פולקסווגן,גולף,278,"קרית שמונה, נפת צפת, מחוז הצפון, ישראל","(33.2074733, 35.5707828, 0.0)",33.2074733,35.5707828,0.0
7,2707,פתח תקווה,פרטית,,2,לא,לא,1,בנזין,1598.0,0,תכלת,49,230000.0,2006.0,אוטומט,1,15000.0,טויוטה,קורולה,200,"פתח תקווה, נפת פתח תקווה, מחוז המרכז, 4926040, ישראל","(32.0877639, 34.8859985, 0.0)",32.0877639,34.8859985,0.0
8,2661,עפולה,פרטית,13.0,5,לא,לא,1,בנזין,1398.0,0,תכלת,49,169000.0,2011.0,אוטומט,1,12990.0,אופל,קורסה,305,"עפולה, נפת יזרעאל, מחוז הצפון, ישראל","(32.6075587, 35.2890861, 0.0)",32.6075587,35.2890861,0.0
9,2229,נתיבות,פרטית,15.0,3,לא,לא,1,בנזין,1598.0,0,תכלת,49,165000.0,2008.0,אוטומט,1,22000.0,טויוטה,קורולה,169,"נתיבות, נפת באר שבע, מחוז הדרום, ישראל","(31.4213546, 34.5884252, 0.0)",31.4213546,34.5884252,0.0
